Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) + cs_rank(volume / (volume + 1e-5)) + cs_rank(vwap / (close + 1e-5)))",1.8341904773197804,165.83160121587622,-12.117173064507917
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(ts_rank(close, 20), 10)))",0.49159032961298327,29.300575291912672,-1.2089021988296618
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"rank(-1 * stddev(delta(close, 1), 20))",1.072973062254308,17.440742838852756,0.5729490568088529
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20)) + cs_rank(-1 * (close - vwap)) + cs_rank(volume / (volume + 1e-5))",3.228587706039357,171.58850212008474,-5.884298729949458
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"cs_rank(-1 * decay_linear(ts_rank(close, 20), 20) + cs_rank(volume) - cs_rank(stddev(close, 20)) + cs_rank(vwap - close))",1.2758131535257142,150.96403593284975,-9.9509772590178
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"rank(-1 * (ts_rank(close, 20) + cs_rank((close - open) / (high - low + 1e-5))))",0.8038576865700947,263.59117515192196,-12.900190289698923
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) + volume / (vwap + 1e-5))",1.530379885208859,49.30842428612905,-2.2366017003168466
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"cs_rank(-1 * sma(stddev(delta(close, 1), 20), 10) * cs_rank(vwap))",1.4889023701510438,7.582271018115595,0.8525269396847319
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * decay_linear(stddev(delta(close, 1), 20), 15) * cs_rank(vwap))",0.8231159312639256,7.182996739180927,0.38072879206245247
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"rank(-1 * stddev(delta(close, 1), 20) + cs_rank(vwap / (close + 1e-5)))",-0.943359207291124,139.67941214852067,-9.553824299767395
Baseline,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"rank(-1 * stddev(delta(close, 1), 20))",2.5167391414931704,19.217188955540088,1.392606061940426
Baseline,11,2012-01-01 to 2016-12-31,2017-01-01 to 2017-12-31,"rank(-1 * (ts_rank(stddev(delta(close, 1), 20), 20) + cs_rank(vwap)))",0.7823996733088088,74.77162148937337,-3.798493105988864
Baseline,12,2013-01-01 to 2017-12-31,2018-01-01 to 2018-12-31,"rank(-1 * (stddev(delta(close, 1), 20) / (volume + 1e-5) + decay_linear(ts_rank(close - vwap, 20), 20)))",0.8646660508549494,102.40590771356437,-5.098886849044055
Baseline,13,2014-01-01 to 2018-12-31,2019-01-01 to 2019-12-31,"rank(-1 * (stddev(delta(close, 1), 20) * cs_rank(volume) + ts_rank(high - low, 20)))",-1.0175647807860067,196.48822345081356,-15.089529237378489
Baseline,14,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,"cs_rank(-1 * (close - open) / (high - low + 1e-5)) * sma(volume, 40) * cs_rank(vwap - close)",0.8911631243927249,224.85864594999492,-4.424041761746721
Baseline,15,2016-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,"cs_rank((high - low) / (close + 1e-5) + volume * decay_linear(stddev(close, 20), 20))",0.6494933889717969,77.13136449331246,-1.9291506976895503
Baseline,16,2017-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) + ts_rank(vwap - close, 20))",0.8421500999615711,43.68882810492106,-0.8759884432257447
Baseline,17,2018-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,"rank(-1 * stddev(delta(close, 1), 20) + decay_linear(ts_rank(vwap, 20), 10))",0.3779388359232891,17.683226914042493,-0.6013011527433055
Baseline,18,2019-01-01 to 2023-12-31,2024-01-01 to 2024-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(close, 20)))",0.6000792311562037,4.055819581062875,0.3851858340831187
Baseline,19,2020-01-01 to 2024-12-31,2025-01-01 to 2025-12-31,"cs_rank(-1 * (stddev(delta(close, 1), 20) + zscore(volume, 20)))",0.27237449271684255,80.50022240778807,-3.5893042823525585
Baseline,20,2021-01-01 to 2025-12-31,2026-01-01 to 2026-08-13,"cs_rank(-1 * stddev(delta(close, 1), 20) + ts_rank(zscore(vwap, 20), 20))",-0.9384687677014223,21.68980345660511,-1.4179618870510518
Execution-Aware,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 120)",1.0147600827942855,3.5836689021322967,0.8521501853398751
Execution-Aware,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 240)",0.40294008344600185,3.304464401520236,0.22266888030556575
Execution-Aware,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 240)",1.2568811700247633,6.137732861848431,1.0949914458798409
Execution-Aware,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 240)",0.010131468511305001,5.080447152259577,-0.14400244470612347
Execution-Aware,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 100)",-0.4774177613818663,3.406156944957307,-0.645315150384438
Execution-Aware,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 120)",1.0636449519913433,3.5075199372784636,0.9009386121681149
Execution-Aware,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 252)",1.4488605951288094,3.116693743665658,1.2707577380058277
Execution-Aware,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 120)",1.011988405084303,3.2888101127557308,0.7489100198987344
Execution-Aware,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 100)",0.688196410579721,3.4493931593048597,0.5127315706639028
Execution-Aware,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"decay_linear(cs_rank(-1 * stddev(delta(close, 1), 20)), 252) + decay_linear(cs_rank(volume), 252)",-1.269922590703229,2.909080277306615,-1.460761731562063
Execution-Aware,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 200)",1.8631205019870787,3.378610659315269,1.6620048772530758
Execution-Aware,11,2012-01-01 to 2016-12-31,2017-01-01 to 2017-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 240)",-1.072390984251106,2.7300773319806644,-1.260295003756027
Execution-Aware,12,2013-01-01 to 2017-12-31,2018-01-01 to 2018-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 240)",-0.8211565325480138,3.2116814374197857,-0.9774435182671952
Execution-Aware,13,2014-01-01 to 2018-12-31,2019-01-01 to 2019-12-31,"decay_linear(cs_rank(-1 * stddev(delta(close, 1), 10)), 252)",-0.4503718501715598,2.9121996288605003,-0.6357173772777331
Execution-Aware,14,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,"decay_linear(ts_rank(-1 * stddev(delta(close, 1), 20), 252), 252)",0.5648668699692698,7.150093106176128,0.3861454057772373
Execution-Aware,15,2016-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 60)",1.3844220398474367,5.095512888301353,1.2421658419836814
Execution-Aware,16,2017-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 40)), 120)",1.2657432726416749,4.3249388786063125,1.1214178393963485
Execution-Aware,17,2018-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 240)",0.04446527123822577,3.198791211322856,-0.1425893704891016
Execution-Aware,18,2019-01-01 to 2023-12-31,2024-01-01 to 2024-12-31,"decay_linear(cs_rank(-1 * stddev(delta(close, 1), 120)), 240)",1.3674963915253624,3.318474086657873,1.20102347172112
Execution-Aware,19,2020-01-01 to 2024-12-31,2025-01-01 to 2025-12-31,"decay_linear(rank(-1 * stddev(delta(close, 1), 20)), 180)",0.5973348835501636,3.6442386713343184,0.4244452654156979
Execution-Aware,20,2021-01-01 to 2025-12-31,2026-01-01 to 2026-08-13,"decay_linear(cs_rank(-1 * stddev(delta(close, 1), 20)), 252)",0.09098116238366459,5.25860024464798,-0.04764281184626515
