Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"cs_rank((vwap - close) / (vwap + 1e-5)) + cs_rank(volume / (volume + 1e-5)) + cs_rank(ts_rank(close, 20) - close)",2.222178564361381,178.91613896743746,-12.21360639326722
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"rank(-1 * zscore(close - open, 20) * decay_linear(cs_rank(volume), 20) * cs_rank(vwap))",-0.7623903279291254,319.50307192181623,-27.630716736038302
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",2.3886373615897067,251.17967765273903,-8.761320152726192
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"cs_rank(zscore(close - open, 20) * zscore(volume, 20) * ts_rank(vwap, 20))",0.076986666570939,322.34121984352555,-18.97876424130496
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,cs_rank((high - low) / (low + 1e-5)) * cs_rank(volume / (volume + 1e-5)) * cs_rank(close - open) * cs_rank(vwap / (close + 1e-5)),1.3640619773029476,272.67180692892873,-19.280570363883665
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"cs_rank(-1 * zscore(close - open, 20) * sma(volume, 20) * cs_rank(vwap) * ts_rank(close, 20))",1.1947202383578033,321.88995094716154,-17.153109353117387
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"cs_rank(-1 * zscore((high - low) / (high + low + 1e-5), 20) + -1 * zscore(close - open, 20) + decay_linear(cs_rank(volume), 5))",2.15456485620469,308.4632279341101,-23.94947523771586
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"cs_rank((-1 * zscore(close, 20)) + cs_rank((vwap - close) / (high - low + 1e-5)))",0.7722875453864698,161.77496334721994,-10.585122621619012
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * zscore(close - open, 20) * cs_rank(close - open))",0.7148612356812747,311.94270352964736,-23.01480038587956
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"rank(-1 * zscore(close - vwap, 20))",1.2723466416537188,336.6592692800958,-19.513545344973313
Baseline,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"rank(-1 * zscore(close - open, 20) * stddev(close, 20)) * ts_rank(volume, 20) * cs_rank(vwap - close)",0.48641489034865887,308.3669098103724,-16.417536923517844
Baseline,11,2012-01-01 to 2016-12-31,2017-01-01 to 2017-12-31,"cs_rank(zscore(volume, 20) * (high - low) / (high + low + 1e-5) * vwap)",-1.02447573558042,223.96922194530612,-17.836880303522424
Baseline,12,2013-01-01 to 2017-12-31,2018-01-01 to 2018-12-31,cs_rank(close - open) * cs_rank(volume) * cs_rank(vwap - close),-0.2757113169285281,194.72261156306453,-15.329872277960398
Baseline,13,2014-01-01 to 2018-12-31,2019-01-01 to 2019-12-31,"cs_rank(-1 * zscore(close - open, 20) * cs_rank(volume * vwap) * ts_rank(close, 20))",0.9843440344563317,319.05245836552456,-19.309140623017417
Baseline,14,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,"rank(-1 * zscore(close - open, 20) * decay_linear(high - low, 10))",0.9932900217794549,332.2125756031369,-10.742483287393387
Baseline,15,2016-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,cs_rank(vwap - close),-0.07570189247839244,318.66773357694814,-9.908031163884951
Baseline,16,2017-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,"cs_rank(zscore(close - open, 20) * zscore(volume, 20) * decay_linear(ts_rank(vwap, 20), 10) * cs_rank(close - vwap))",0.47156092074680794,323.7948038537482,-16.361225418513715
