iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,node_count,reward
0,baseline,"rank(-1 * delta(close, 1))",,-0.14834685618799237,324.4807514468433,2.1943428441961044,-24.534101571982642,4.0,-0.14834685618799237
1,baseline,cs_rank(vwap - close),,2.0379016447910736,322.8312226926375,2.1644646951910103,-23.82715409075178,2.0,2.0379016447910736
2,baseline,cs_rank((vwap - close) / (high - low + 1e-5)),,2.9583317239896996,332.1922742677168,2.1790572666724715,-25.31539327384125,5.0,2.9583317239896996
3,baseline,cs_rank((vwap - close) / (high - low + 1e-5) + (open - close) / (high - low + 1e-5)),,1.2226596668442649,332.595189062021,2.196742008765039,-25.96875850641607,10.0,1.1226596668442648
4,baseline,cs_rank((vwap - close) / (high - low + 1e-5)),,2.9583317239896996,332.1922742677168,2.1790572666724715,-25.31539327384125,5.0,2.9583317239896996
5,baseline,"cs_rank(((vwap - close) / (high - low + 1e-5)) + (ts_rank(close, 20) - 0.5))",,1.436288675991802,179.97762612694837,1.0931967904098843,-11.602659389300019,8.0,1.436288675991802
6,baseline,"cs_rank(((vwap - close) / (high - low + 1e-5)) + ts_rank(close, 20))",,1.436288675991802,179.97762612694837,1.0931967904098843,-11.602659389300019,7.0,1.436288675991802
7,baseline,"cs_rank(((vwap - close) / (high - low + 1e-5)) * ts_rank(close, 20))",,2.457534742583532,328.2384524363515,2.1641582631379683,-25.07341764520468,7.0,2.457534742583532
8,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + zscore(volume, 20))",,1.4789889262035163,252.94810523535114,1.6002242335398353,-21.07708389302086,7.0,1.4789889262035163
9,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + zscore(close, 20))",,0.14014177764684035,99.74450138281743,0.571289598503631,-6.203237299796412,7.0,0.14014177764684035
10,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + decay_linear(zscore(volume, 20), 20))",,1.3048174860939294,147.09614548591776,0.857228136175251,-10.415230573945763,8.0,1.3048174860939294
11,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + zscore(volume, 20))",,1.4789889262035163,252.94810523535114,1.6002242335398353,-21.07708389302086,7.0,1.4789889262035163
12,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + decay_linear(zscore(volume, 20), 10))",,1.3183554672405404,129.84743838902315,0.747627245045323,-9.250968193336355,8.0,1.3183554672405404
13,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + decay_linear(zscore(volume, 20), 10) * 0.5)",,1.9484430187379689,194.47257767051494,1.1761390662954554,-14.050656024922665,9.0,1.8984430187379688
14,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + zscore(volume, 20))",,1.4789889262035163,252.94810523535114,1.6002242335398353,-21.07708389302086,7.0,1.4789889262035163
15,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) * decay_linear(zscore(volume, 20), 20))",,0.26835080487819396,316.0239281266732,2.094943113038006,-27.203353868395492,8.0,0.26835080487819396
16,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) * zscore(volume, 20))",,-2.0447826373540305,333.1806479230979,2.187754583735138,-32.41536301976829,7.0,-2.0447826373540305
17,baseline,cs_rank((close - open) / (high - low + 1e-5)),,-0.5851356227464645,332.05972675719806,2.196598860397846,-25.00078204487907,5.0,-0.5851356227464645
18,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(volume / ts_rank(volume, 20))",,2.9166737235052222,269.69792042844307,1.7105335073553596,-19.672077885457007,9.0,2.8666737235052224
19,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) * cs_rank(volume / ts_rank(volume, 20))",,2.9961447488743675,262.49883083855804,1.645475261384897,-19.174997909832545,9.0,2.9461447488743677
20,baseline,cs_rank((vwap - close) / (high - low + 1e-5)),,2.9583317239896996,332.1922742677168,2.1790572666724715,-25.31539327384125,5.0,2.9583317239896996
21,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) * decay_linear(close, 20))",,2.464548363919133,319.70046051158687,2.085425431187243,-24.150750804576095,7.0,2.464548363919133
22,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) * zscore(close, 20))",,0.3297147005858783,328.8608457834779,2.167716486533516,-26.058287684552333,7.0,0.3297147005858783
23,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) * decay_linear(zscore(close, 20), 20))",,0.6421633054422102,318.69454877890536,2.1019380626624677,-24.409853685144437,8.0,0.6421633054422102
24,baseline,"cs_rank((vwap - close) / (high - low + 1e-5) + zscore(close, 20))",,0.14014177764684035,99.74450138281743,0.571289598503631,-6.203237299796412,7.0,0.14014177764684035
25,baseline,cs_rank((vwap - close) / (high - low + 1e-5) + cs_rank(volume)),,2.6950158155072135,172.4251041720582,1.0338220199021657,-11.980518648004434,7.0,2.6950158155072135
26,baseline,cs_rank((vwap - close) / (high - low + 1e-5)) * cs_rank(volume),,2.9427195958249848,252.95007434531254,1.5790760307819138,-17.583170932193912,7.0,2.9427195958249848
27,baseline,cs_rank((vwap - close) / (high - low + 1e-5)) * cs_rank(volume / (volume + 1e-5)),,2.9427138325791264,252.950134612744,1.5790758633087594,-17.583230803166103,9.0,2.8927138325791266
28,baseline,cs_rank((vwap - close) / (high - low + 1e-5)),,2.9583317239896996,332.1922742677168,2.1790572666724715,-25.31539327384125,5.0,2.9583317239896996
29,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) * cs_rank(zscore(volume, 20))",,2.2532790022131377,298.13255826273615,1.9741618878203597,-22.728470511068824,8.0,2.2532790022131377
30,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20))",,2.8054487942541586,313.1770559784145,2.0340407445501913,-23.350459546552347,8.0,2.8054487942541586
31,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) + cs_rank(decay_linear(close, 20))",,1.1800572098054076,255.54268540732915,1.6046928923805965,-19.739209468661386,11.0,1.0300572098054075
32,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20))",,2.8054487942541586,313.1770559784145,2.0340407445501913,-23.350459546552347,8.0,2.8054487942541586
33,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20))",,3.3144500116121143,254.23618122387867,1.594525913173468,-16.925964324992297,11.0,3.1644500116121144
34,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20))",,2.8054487942541586,313.1770559784145,2.0340407445501913,-23.350459546552347,8.0,2.8054487942541586
35,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20)) + cs_rank(ts_rank(close, 20))",,3.001440278573557,230.04552963341783,1.422533180487785,-15.251677747494435,14.0,2.701440278573557
36,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20))",,3.3144500116121143,254.23618122387867,1.594525913173468,-16.925964324992297,11.0,3.1644500116121144
37,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20))",,2.8054487942541586,313.1770559784145,2.0340407445501913,-23.350459546552347,8.0,2.8054487942541586
38,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20)) + cs_rank(decay_linear(close, 20))",,2.804153689606978,313.4244011872337,2.0359202284444207,-23.47069209234973,14.0,2.5041536896069783
39,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20))",,3.3144500116121143,254.23618122387867,1.594525913173468,-16.925964324992297,11.0,3.1644500116121144
40,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(close / sma(close, 20))",Rejected by AST anti-pattern guardrails: UNPROTECTED_DIVISION: a division's denominator is not epsilon-protected (x / (y + 1e-5)) or a ranked value — it could be zero.,,,,,,-inf
41,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20))",,3.3144500116121143,254.23618122387867,1.594525913173468,-16.925964324992297,11.0,3.1644500116121144
42,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20))",,2.8054487942541586,313.1770559784145,2.0340407445501913,-23.350459546552347,8.0,2.8054487942541586
43,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20)) + cs_rank(decay_linear(close, 20))",,2.804153689606978,313.4244011872337,2.0359202284444207,-23.47069209234973,14.0,2.5041536896069783
44,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20)) - cs_rank(sma(close, 20))",,3.3144500116121143,254.23618122387867,1.594525913173468,-16.925964324992297,11.0,3.1644500116121144
45,baseline,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 20))",,2.8054487942541586,313.1770559784145,2.0340407445501913,-23.350459546552347,8.0,2.8054487942541586
