Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"cs_rank(-1 * (close - open) / (high - low + 1e-5)) + cs_rank((vwap - close) / (vwap + close + 1e-5)) + cs_rank(volume / (sma(volume, 20) + 1e-5))",0.8799374863466654,329.45808182573967,-23.386849994916577
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(cs_rank(vwap), 20)))",0.3092136775333375,10.785220220819536,-0.3418364714076291
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"rank(-1 * stddev(delta(close, 1), 20) + cs_rank(volume) + ts_rank(vwap - close, 20))",1.473718192423164,80.07372206797089,-1.432404409780199
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"rank(-1 * stddev(delta(close, 1), 20) + cs_rank(volume))",0.4392339469437328,36.1733747257901,-1.095731592655626
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"rank(-1 * stddev(delta(close, 1), 20) / (cs_rank(volume) + 1e-5) * cs_rank(close / (vwap + 1e-5)))",1.1313939621489106,169.41549948777794,-12.244549115083856
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"rank(-1 * (decay_linear(close - open, 20) + vwap + ts_rank(volume, 20)))",-0.09902753256830249,7.565942976583713,-0.5072212045089711
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(close, 20)))",1.73045776183373,4.064038476898114,1.4614366405300871
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"rank(-1 * cs_rank(stddev(delta(close, 1), 20) / (volume + 1e-5) * decay_linear(close, 20) * cs_rank(vwap)))",1.3759062194841127,28.9167420752692,-1.0874091012560787
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) / (sma(volume, 10) + 1e-5) * cs_rank(vwap) * cs_rank(volume))",1.0715206626861147,48.56283113633241,-2.3862478011875576
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"rank(-1 * stddev(delta(close, 1), 20) * cs_rank(vwap) * cs_rank(volume))",-1.8272203132722993,63.76569425018923,-5.577026106477376
