Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,cs_rank(close - open) * cs_rank(volume / (high - low + 1e-5)) * cs_rank(vwap - close),3.439801565886722,204.30525195775866,-12.556398036134318
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"cs_rank((high - low) / (vwap - sma(close, 20) + 1e-5)) * cs_rank(volume / (sma(volume, 20) + 1e-5))",0.8102436714431314,238.83404398562922,-19.45218602912659
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) * cs_rank(volume / (vwap + 1e-5))",0.02015595305555462,52.03904167523476,-1.997049689002062
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"cs_rank((high - low) / (close + 1e-5)) * ts_rank(volume, 60) * cs_rank(zscore(volume, 60))",1.1921125021616028,225.00583359310264,-5.38459870157921
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,cs_rank(volume / (vwap + 1e-5)),0.22549722837488356,48.75977190148983,-4.082570225328204
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,cs_rank(vwap - close) * cs_rank(volume),1.3395853405210267,264.65247254506164,-16.271101006369673
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,cs_rank(close - open) * cs_rank(vwap - close) * cs_rank(volume),2.1077507758892606,218.51450791827287,-15.122567240233263
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"cs_rank(delta(close, 20) / (stddev(close, 20) + 1e-5)) * cs_rank(volume / (high - low + 1e-5)) * cs_rank(vwap - close)",1.5505633829155023,191.426165661727,-14.424857955904296
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"ts_rank(vwap - close, 20) * cs_rank(volume / (vwap + 1e-5))",1.6879887387888486,230.19143894670435,-16.865213033929553
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"cs_rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5) * sma(volume, 60) * ts_rank(vwap, 60) * cs_rank(low - close))",0.7283151554206656,77.07085863433257,-2.8292554421492953
Baseline,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"cs_rank((close - sma(close, 60)) / (stddev(close, 60) + 1e-5)) * cs_rank(volume / (sma(volume, 60) + 1e-5))",-0.9497568745805642,164.92967624115056,-9.25187832029147
Baseline,11,2012-01-01 to 2016-12-31,2017-01-01 to 2017-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + cs_rank(vwap - close) + cs_rank(volume / (vwap + 1e-5))",1.2861421858260884,219.74270336109922,-12.564143064234306
Baseline,12,2013-01-01 to 2017-12-31,2018-01-01 to 2018-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + rank(volume / (vwap + 1e-5))",-0.7614732422714762,48.34949816948034,-3.234375259225976
Baseline,13,2014-01-01 to 2018-12-31,2019-01-01 to 2019-12-31,"cs_rank((delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + (vwap - close))",-1.4672728064358667,55.361472558339855,-4.312050059143091
Baseline,14,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,cs_rank(high - low) / (vwap - close + 1e-5),-2.066784481237313,412.41809122916953,-11.895081489206254
Baseline,15,2016-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,cs_rank((high - low) / (vwap + 1e-5)) + cs_rank(volume / cs_rank(volume)),1.6462059078417508,178.90606419943578,-2.0763696443511286
Baseline,16,2017-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,"cs_rank(close - sma(close, 20)) / (stddev(close, 60) + 1e-5) + cs_rank(vwap - close)",-0.6067534127493376,306.09419273287193,-13.835776643167984
Baseline,17,2018-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,"cs_rank((vwap - close) / (volume + 1e-5)) + cs_rank(stddev(close, 252) / (close + 1e-5)) - cs_rank(high - low)",1.3409925914873018,189.9626805776684,-7.356911428570933
Baseline,18,2019-01-01 to 2023-12-31,2024-01-01 to 2024-12-31,"cs_rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) * cs_rank(volume / (vwap + 1e-5))",1.9171312763307502,39.71739238496262,0.399665547382997
Baseline,19,2020-01-01 to 2024-12-31,2025-01-01 to 2025-12-31,"rank(volume / (volume + 1e-5)) + rank(close / (sma(close, 20) + 1e-5)) + rank(vwap - close)",0.035620790239648446,209.52437562071464,-6.77976674295863
Baseline,20,2021-01-01 to 2025-12-31,2026-01-01 to 2026-08-13,"cs_rank(volume / (sma(volume, 60) + 1e-5) * (high - low) / (close + 1e-5))",2.302052776065912,226.51416046189436,-2.948911324108766
Execution-Aware,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"decay_linear(cs_rank((close - sma(close, 240)) / (stddev(close, 60) + 1e-5)), 252) + decay_linear(cs_rank((high - low) / (close + 1e-5)), 252)",-0.5376938333995236,4.289556276541542,-0.6713982801134031
Execution-Aware,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",3.2304203159315037,3.9075824279404476,3.013355285856187
Execution-Aware,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"decay_linear(rank(delta(close, 120) / (stddev(delta(close, 1), 120) + 1e-5)), 252)",0.023560960198247,7.109723520915184,-0.12187395149779712
Execution-Aware,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"decay_linear(cs_rank(delta(close, 360) / (stddev(delta(close, 1), 180) + 1e-5)), 252)",-1.6552664746684462,5.8436073471086285,-1.8215416129135227
Execution-Aware,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",-0.570542157759005,3.7645545942333483,-0.8412424606226351
Execution-Aware,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"decay_linear(cs_rank(delta(close, 180) / (stddev(delta(close, 1), 180) + 1e-5)), 252)",0.9039314820594498,4.127091276649804,0.7629558984651577
Execution-Aware,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"decay_linear(rank(delta(close, 120) / (stddev(delta(close, 1), 120) + 1e-5)), 240)",0.33903539829356943,4.158801111162654,0.21435159190249095
