,0
2006-01-03,1.48709904768604
2006-01-04,1.3406914332033746
2006-01-05,1.2558036265700023
2006-01-06,1.3597213066593885
2006-01-09,1.1914442832473
2006-01-10,1.3080090844125976
2006-01-11,1.2102369667740038
2006-01-12,1.2251308839321917
2006-01-13,1.4617174198685827
2006-01-17,1.3506769464948367
2006-01-18,1.276392573134804
2006-01-19,1.2110508490280942
2006-01-20,1.1458871779920172
2006-01-23,1.3159663852710597
2006-01-24,1.171002843647317
2006-01-25,1.3811785535384116
2006-01-26,1.18245260990516
2006-01-27,1.2968537126553563
2006-01-30,1.2212242597174945
2006-01-31,1.3742049977064303
2006-02-01,1.28433132169316
2006-02-02,1.398678047467509
2006-02-03,1.4225509438916921
2006-02-06,1.2921976321852053
2006-02-07,1.3876093409543815
2006-02-08,1.2136720414355702
2006-02-09,1.4047580109500242
2006-02-10,1.431926275327382
2006-02-13,1.4123423713263057
2006-02-14,1.3526850339680325
2006-02-15,1.4273228025802018
2006-02-16,1.0830965510403203
2006-02-17,1.3486571277862098
2006-02-21,1.3902317233674497
2006-02-22,1.276576900654228
2006-02-23,1.431096778255545
2006-02-24,1.482414633914863
2006-02-27,1.275491514652897
2006-02-28,1.1214101910719902
2006-03-01,1.33875798172238
2006-03-02,1.2604853889842609
2006-03-03,1.2389596181245062
2006-03-06,1.1885500472747168
2006-03-07,1.334964164666143
2006-03-08,1.060437054782317
2006-03-09,1.3625545261645637
2006-03-10,1.3948461221208746
2006-03-13,1.2907579135831782
2006-03-14,1.4025911690107606
2006-03-15,1.266439617205342
2006-03-16,1.1524373454302266
2006-03-17,1.1936177613309202
2006-03-20,1.5880451652929217
2006-03-21,1.1668760425866629
2006-03-22,1.2316650932649074
2006-03-23,1.2114219565203346
2006-03-24,1.4691830065301636
2006-03-27,1.3222527277727618
2006-03-28,1.3416600088563748
2006-03-29,1.29245426615853
2006-03-30,1.4459212869354419
2006-03-31,1.4280742531558852
2006-04-03,1.2534516171310583
2006-04-04,1.311069895670868
2006-04-05,1.5079983552976561
2006-04-06,1.177030008180114
2006-04-07,1.1573779123407193
2006-04-10,1.27205362551932
2006-04-11,1.2680969707073846
2006-04-12,1.2412428244336426
2006-04-13,1.2676565494988394
2006-04-17,1.3964822253604927
2006-04-18,1.113781887806445
2006-04-19,1.468189554152687
2006-04-20,1.2777257217629325
2006-04-21,1.285973095881626
2006-04-24,1.2636203292648573
2006-04-25,1.3820859138093875
2006-04-26,1.1767939517484138
2006-04-27,1.0709482597357929
2006-04-28,1.2307225960021557
2006-05-01,1.4080235919654296
2006-05-02,1.3574806970433801
2006-05-03,1.1550585497861823
2006-05-04,1.3276533793800755
2006-05-05,1.3375490599538744
2006-05-08,1.2872838399853341
2006-05-09,1.3907444758866188
2006-05-10,1.2762924519591898
2006-05-11,1.2751516850239262
2006-05-12,1.3383688076797378
2006-05-15,1.0584276498696101
2006-05-16,1.2187336718257469
2006-05-17,1.2798766989752295
2006-05-18,1.443702825862422
2006-05-19,1.0976221573772371
2006-05-22,1.504032037012832
2006-05-23,1.233634294494292
